Ticker;Publico Alvo;Tipo de FII;Administrador;Ultimo Rend. (R$);Ultimo Rend. (%);Data Pagamento;Data Base;Rend. Med. 12m (R$);Rend. Med. 12m (%);Patrimonio/Cota;Cotacao/VP;Nº negocios/mes;Partic. IFIX;Numero Cotistas;Patrimonio;Cota base
NEWL11;Geral;Tijolo: Galpões;Brasil Plural S.A. Banco Múltiplo;0,7;0,69;15/10/2020;30/09/2020;0,55;0,54;113,93;0,9;386;0;526;97.504.269,79;101,99
NEWU11;Geral;Tijolo: Escritórios;Brasil Plural S.A. Banco Múltiplo;0,11;0,24;18/08/2020;11/08/2020;1,01;2,25;69,14;0,65;396;0;2.163;51.302.215,38;45
NPAR11;Geral;Papel: CRIs;Planner Trustee DTVM LTDA;0,98;0,81;15/01/2019;28/12/2018;0;0;124,11;0,98;22;0;23;14.537.454,96;121,19
NSLU11;Geral;Tijolo: Hospital;BTG Pactual;1,81;0,66;07/10/2020;30/09/2020;2,07;0,75;190,75;1,45;3.654;0;7.216;218.371.245,63;276,02
NVHO11;Geral;Tijolo: Hospital;Genial Investimentos Corretora de Valores;0,06;0,49;08/10/2020;30/09/2020;0,06;0,47;7,85;1,62;1.029;0;2.350;325.699.354,68;12,7
NVIF11B;Investidor Qualificado;Tijolo: Desenvolvimento;Modal DTVM;0,89;N/A;15/10/2020;30/09/2020;0,84;N/A;177,22;0;0;0;7;59.794.665,19;0
ONEF11;Geral;Tijolo: Escritórios;Rio Bravo Investimentos;0,63;0,42;15/10/2020;06/10/2020;0,62;0,42;154,46;0,96;1.219;0,17;4.865;140.712.001,53;148,5
ORPD11;Investidor Qualificado;Tijolo: Desenvolvimento;Planner Trustee DTVM LTDA;1,38;1,1;29/03/2019;28/02/2019;0,11;0,09;137,53;0,91;1;0;7;39.884.550,80;125
OUCY11;Geral;Papel: CRIs;Banco Ourinvest S.A.;0,55;0,67;22/10/2020;15/10/2020;0,57;0,7;98,25;0,83;1.481;0;2.134;81.732.055,43;81,92
OUFF11;Geral;Papel: Fundo de Fundos;Banco Ourinvest S.A.;0,45;0,53;22/10/2020;15/10/2020;0,62;0,73;89,57;0,95;3.264;0;4.829;162.516.991,56;85
OUJP11;Geral;Papel: CRIs;Finaxis CTVM SA;0,44;0,43;15/10/2020;30/09/2020;0,62;0,6;101,96;1,01;22.923;0,29;16.903;232.844.300,11;102,71
OULG11;Geral;Tijolo: Galpões;Banco Ourinvest S.A.;0,61;0,67;22/10/2020;15/10/2020;0,65;0,72;96,42;0,95;4.887;0,28;4.261;239.250.951,08;91,2
PABY11;Geral;Tijolo: Desenvolvimento;BRKB DTVM;0;N/A;00/00/0000;00/00/0000;0;N/A;-4,52;0;204;0;502;-3.426.710,45;0
PATC11;Geral;Tijolo: Escritórios;Modal DTVM;0,29;0,33;08/10/2020;30/09/2020;0,32;0,36;99,65;0,89;15.256;0,38;16.067;346.525.999,30;88,2
PATL11;Geral;Tijolo: Galpões;Vórtx DTVM LTDA;0,49;0,51;08/10/2020;30/09/2020;0,05;0,05;96,88;0,99;24.512;0;6.272;483.581.514,93;96
PBLV11;Investidor Qualificado;Tijolo: Galpões;BRL Trust DTVM;23,86;N/A;30/07/2020;23/07/2020;4,03;N/A;1.137,47;0;0;0;2;2.742.278.033,72;0
PLCR11;Geral;Papel: CRIs;Brasil Plural S.A. Banco Múltiplo;0,46;0,55;15/10/2020;30/09/2020;0,27;0,32;96,55;0,86;12.799;0,22;3.646;203.636.820,52;83
PLRI11;Investidor Qualificado;Papel: CRIs;Oliveira Trust;0,22;0,52;07/10/2020;30/09/2020;0,21;0,51;58,75;0,7;463;0;806;56.061.652,04;41,2
PORD11;Investidor Qualificado;Papel: CRIs;Oliveira Trust;0,82;0,82;07/10/2020;30/09/2020;1,83;1,83;100,93;0,99;9.038;0;4.448;199.109.882,97;99,8
PQAG11;Investidor Qualificado;Tijolo: Galpões;Hedge Investments DTVM LTDA;3,53;0,52;15/10/2020;30/09/2020;0,88;0,13;554,21;1,24;49;0;56;775.447.887,65;684,99
PQDP11;Geral;Tijolo: Shoppings;BTG Pactual;11,19;0,38;20/10/2020;30/09/2020;14,54;0,49;3.481,05;0,85;531;0;4.293;830.149.215,36;2.967,00
PRSN11B;Investidor Qualificado;Tijolo: Desenvolvimento;Oliveira Trust;0,03;2,75;15/07/2020;07/07/2020;0,06;5,71;0,33;3;1.113;0;985;17.076.389,76;0,99
PRSV11;Geral;Tijolo: Escritórios;Hedge Investments DTVM LTDA;1,62;0,42;15/10/2020;30/09/2020;2,04;0,53;364,23;1,05;222;0;1.319;71.024.775,31;382
PRTS11;Investidor Qualificado;Tijolo: Shoppings;Banco Modal S.A.;0;N/A;00/00/0000;00/00/0000;0;N/A;0,15;0;0;0;11;8.440.319,78;0
PVBI11;Geral;Tijolo: Escritórios;BTG Pactual;0,45;0,45;07/10/2020;30/09/2020;0,04;0,04;96,59;1,03;27.136;0;8.302;938.886.911,97;99,59
QAGR11;Geral;Indefinido;BTG Pactual;0,36;0,43;15/10/2020;07/10/2020;0,2;0,24;96,38;0,88;19.774;0,53;15.407;485.746.940,49;84,49
QMFF11;Geral;Papel: Fundo de Fundos;BRL Trust DTVM;0,75;0,75;15/10/2020;30/09/2020;0,13;0,12;101,35;0,99;75;0;68;15.202.067,16;100,5
RBBV11;Geral;Tijolo: Desenvolvimento;Caixa Econômica Federal;0,32;0,35;13/10/2020;01/10/2020;0,33;0,35;100,24;0,93;711;0;2.850;125.714.403,01;93,63
RBCO11;Geral;Tijolo: Escritórios;BRL Trust DTVM;0,55;0,63;15/10/2020;30/09/2020;0,52;0,6;102,53;0,85;1.746;0;2.774;387.475.287,90;86,99
RBDS11;Investidor Qualificado;Tijolo: Desenvolvimento;Oliveira Trust;1,84;2,65;10/12/2019;29/11/2019;1,92;2,75;35,13;1,98;401;0;1.087;4.444.213,75;69,6
RBED11;Geral;Tijolo: Educacional;Rio Bravo Investimentos;1;0,61;15/10/2020;30/09/2020;0,97;0,59;149,65;1,1;7.533;0,36;9.736;267.460.274,17;164,57
RBFF11;Geral;Papel: Fundo de Fundos;BRL Trust DTVM;0,55;0,75;15/10/2020;30/09/2020;0,74;1;77,89;0,95;8.888;0,51;11.283;213.227.180,28;73,7
RBGS11;Geral;Tijolo: Shoppings;Oliveira Trust;0,05;0,12;14/07/2020;30/06/2020;0,25;0,59;87,1;0,48;1.151;0;3.004;93.898.788,32;41,7
RBIV11;Geral;Papel: CRIs;BRL Trust DTVM;0,54;0,65;15/10/2020;30/09/2020;0,3;0,36;97,73;0,85;1.515;0;2.376;100.110.398,40;83,47
RBRD11;Geral;Tijolo: Varejo;Votorantim Asset Management;0,06;0,09;15/10/2020;30/09/2020;1,91;2,72;81,03;0,87;8.018;0;11.593;150.044.814,75;70,21
RBRF11;Geral;Papel: Fundo de Fundos;BTG Pactual;0,75;0,77;19/10/2020;09/10/2020;0,65;0,67;93,23;1,05;53.633;1,12;54.050;856.813.928,94;97,5
RBRL11;Investidor Qualificado;Tijolo: Galpões;BRL Trust DTVM;0,56;0,49;15/10/2020;07/10/2020;0,38;0,34;102,68;1,1;621;0;584;329.745.621,22;112,97
RBRM11;Investidor Qualificado;Tijolo: Desenvolvimento;BTG Pactual;8.712,74;N/A;14/08/2020;07/08/2020;1.677,84;N/A;163.523,30;0;1;0;54;88.206.103,79;0
RBRP11;Investidor Qualificado;Tijolo: Escritórios;BRL Trust DTVM;0,58;0,61;15/10/2020;07/10/2020;0,43;0,45;85,87;1,1;62.576;0;50.955;734.457.632,75;94,55
RBRR11;Geral;Papel: CRIs;BTG Pactual;0,5;0,49;19/10/2020;09/10/2020;0,55;0,54;97,62;1,04;41.428;0,94;67.166;745.964.781,31;101,5
RBRS11;Geral;Tijolo: Desenvolvimento;Rio Bravo Investimentos;0;N/A;00/00/0000;00/00/0000;0;N/A;96,57;0;304;0;970;100.884.867,88;0
RBRY11;Investidor Qualificado;Papel: CRIs;BTG Pactual;0,6;0,58;19/10/2020;09/10/2020;0,67;0,64;104,65;0,99;1.973;0;1.519;204.601.317,18;103,7
RBTS11;Investidor Qualificado;Tijolo: Desenvolvimento;Oliveira Trust;0;N/A;00/00/0000;00/00/0000;0;N/A;1.012,74;0;1;0;56;57.245.306,64;0
RBVA11;Geral;Tijolo: Bancário;Rio Bravo Investimentos;0,85;0,71;15/10/2020;30/09/2020;0,91;0,76;115,55;1,04;35.013;1,63;34.603;1.235.725.657,11;119,9
RBVO11;Geral;Papel: CRIs;Rio Bravo Investimentos;0,12;0,57;08/10/2020;30/09/2020;0,13;0,61;30,27;0,71;1.069;0;1.975;15.612.607,33;21,6
RCFA11;Geral;Tijolo: Desenvolvimento;Fram Capital DTVM SA;0;N/A;00/00/0000;00/00/0000;0;N/A;1,59;0;6.011;0;2.863;18.545.011,98;0
RCFF11;Investidor Qualificado;Papel: Fundo de Fundos;BRL Trust DTVM;1,92;1,98;21/07/2020;13/07/2020;0,16;0,16;100,1;0,97;24;0;46;32.350.549,17;97
RCRB11;Geral;Tijolo: Escritórios;Rio Bravo Investimentos;0,85;0,48;15/10/2020;07/10/2020;0,84;0,48;197,43;0,89;14.349;0,8;25.974;587.687.036,44;175,95
RCRI11B;Investidor Qualificado;Papel: CRIs;Oliveira Trust;13,45;N/A;14/07/2020;30/06/2020;4,28;N/A;1.052,44;0;0;0;142;63.161.300,98;0
RDPD11;Geral;Papel: CRIs;Votorantim Asset Management;0,31;0,37;15/10/2020;30/09/2020;0,39;0,46;97,63;0,86;129;0;809;105.248.835,27;84,44
RECR11;Geral;Papel: CRIs;BRL Trust DTVM;1,31;1,34;15/10/2020;07/10/2020;0,81;0,83;97,29;1;21.642;1,16;36.731;705.352.609,71;97,76
RECT11;Geral;Indefinido;BRL Trust DTVM;0,72;0,74;15/10/2020;07/10/2020;0,86;0,88;96,21;1,01;48.372;0,83;42.410;670.956.189,46;97,4
REIT11;Investidor Qualificado;Papel: CRIs;Socopa Sociedade Corretora Paulista;14,62;1,22;15/10/2020;30/09/2020;21,64;1,8;1.235,31;0,97;14;0;50;32.477.446,26;1.199,99
RFOF11;Geral;Papel: Fundo de Fundos;BRL Trust DTVM;0,5;0,6;15/10/2020;30/09/2020;0,17;0,21;95,2;0,88;3.949;0;2.428;102.643.074,98;83,5
RMAI11;Geral;Tijolo: Escritórios;Monetar DTVM;5,33;N/A;10/05/2016;02/05/2016;0;N/A;1.060,70;0;125;0;660;259.213.251,93;0
RNDP11;Geral;Papel: CRIs;Votorantim Asset Management;3,12;0,38;15/10/2020;30/09/2020;3,77;0,46;1.084,29;0,76;157;0;865;116.541.055,88;820,5
RNGO11;Geral;Tijolo: Escritórios;Rio Bravo Investimentos;0,42;0,58;15/10/2020;30/09/2020;0,46;0,63;102,6;0,7;9.919;0,24;15.375;274.569.615,68;71,95
RSPD11;Investidor Qualificado;Tijolo: Desenvolvimento;Oliveira Trust;0;N/A;00/00/0000;00/00/0000;0;N/A;1.108,38;0;2;0;98;85.524.674,02;0
RVBI11;Geral;Papel: Fundo de Fundos;BRL Trust DTVM;0,6;0,64;16/10/2020;08/10/2020;0,26;0,28;95,08;0,98;11.097;0;9.535;136.915.191,06;93,29
RZTR11;Geral;Indefinido;Brasil Plural S.A. Banco Múltiplo;0;N/A;00/00/0000;00/00/0000;0;N/A;0;;0;0;0;0;0
SADI11;Geral;Papel: CRIs;Santander Securities Services Brasil DTVM;0,18;0,21;15/10/2020;30/09/2020;0,28;0,34;100,42;0,83;6.729;0,33;2.807;319.347.900,59;83,5
SAIC11B;Investidor Qualificado;Tijolo: Escritórios;BRB DTVM;0,66;1,09;16/10/2018;01/10/2018;0;0;54,87;1,11;14;0;63;78.443.707,99;61
SARE11;Geral;Indefinido;Santander Securities Services Brasil DTVM;0,19;0,18;15/10/2020;30/09/2020;0,19;0,19;99,94;1,01;8.223;0,87;4.438;359.781.153,50;101,25
SCPF11;Geral;Tijolo: Shoppings;BR-CAPITAL;0,01;0,17;15/10/2020;06/10/2020;0,06;0,65;11,5;0,77;2.082;0;4.808;48.280.625,78;8,88
SDIL11;Geral;Tijolo: Galpões;Rio Bravo Investimentos;0,55;0,54;15/10/2020;30/09/2020;0,51;0,51;95,74;1,06;25.705;0,6;41.378;456.688.784,76;101,05
SFND11;Geral;Tijolo: Escritórios;Rio Bravo Investimentos;79,19;N/A;15/10/2020;06/10/2020;7,26;N/A;102,13;0;0;0;55;100.235.791,92;0
SHDP11B;Geral;Tijolo: Shoppings;BTG Pactual;3,78;N/A;20/10/2020;13/10/2020;6,31;N/A;1.424,89;0;2;0;3;2.047.003.760,79;0
SHOP11;Investidor Qualificado;Tijolo: Shoppings;Banco Modal S.A.;0;N/A;00/00/0000;00/00/0000;0;N/A;62,93;0;0;0;11;93.212.392,54;0
SHPH11;Geral;Tijolo: Shoppings;Rio Bravo Investimentos;1,08;0,12;15/10/2020;30/09/2020;3,27;0,37;784,8;1,13;492;0;3.116;477.902.978,19;886,01
SPAF11;Investidor Qualificado;Tijolo: Shoppings;Brasil Plural S.A. Banco Múltiplo;1,81;N/A;06/03/2020;28/02/2020;2,5;N/A;996,78;0;0;0;1;11.233.708,65;0
SPTW11;Geral;Tijolo: Escritórios;Genial Investimentos Corretora de Valores;0,75;0,82;08/10/2020;30/09/2020;0,74;0,8;75,8;1,21;10.235;0,2;16.385;136.295.653,07;91,99
STRX11;Geral;Tijolo: Desenvolvimento;Oliveira Trust;21,13;N/A;07/10/2020;30/09/2020;33,98;N/A;20.313,98;0;0;0;53;312.400.652,89;0
TBOF11;Geral;Tijolo: Escritórios;BTG Pactual;0,09;N/A;31/07/2020;22/07/2020;0,86;N/A;0,19;0;2.769;0;9.153;1.951.780,81;0
TCPF11;Investidor Qualificado;Indefinido;BR-CAPITAL;1,8;N/A;15/01/2020;07/01/2020;0,15;N/A;110,45;0;0;0;52;32.839.893,46;0
TEPP11;Geral;Tijolo: Escritórios;BRL Trust DTVM;0,5;0,55;15/10/2020;30/09/2020;0,48;0,53;96,35;0,94;9.661;0;6.075;348.493.269,08;90,7
TFOF11;Investidor Qualificado;Papel: Fundo de Fundos;Hedge Investments DTVM LTDA;2,37;1,72;14/07/2020;30/06/2020;2,01;1,45;121,2;1,14;1.917;0;3.278;103.080.374,68;138
TGAR11;Geral;Tijolo: Desenvolvimento;Vórtx DTVM LTDA;1;0,76;08/10/2020;30/09/2020;0,99;0,75;124,62;1,06;29.402;0,99;40.071;733.988.273,60;132,15
THRA11;Geral;Tijolo: Escritórios;BTG Pactual;0,77;0,57;15/10/2020;07/10/2020;0,62;0,46;118,68;1,14;3.485;0;2.489;174.788.281,52;135
TORD11;Geral;Indefinido;Vórtx DTVM LTDA;0,09;0,88;19/10/2020;09/10/2020;0,06;0,54;9,99;1,07;11.909;0;6.756;37.636.568,64;10,7
TORM13;Investidor Qualificado;Tijolo: Desenvolvimento;Vórtx DTVM LTDA;5,14;N/A;07/10/2020;30/09/2020;1,13;N/A;1.767,04;0;0;0;263;17.670.401,59;0
TOUR11;Investidor Qualificado;Tijolo: Desenvolvimento;Vórtx DTVM LTDA;0,69;0,64;15/07/2020;30/06/2020;0,67;0,62;334,52;0,32;4;0;168;3.345.165,24;107,93
TRNT11;Geral;Tijolo: Escritórios;BTG Pactual;0,68;0,36;20/10/2020;13/10/2020;0,6;0,32;222,26;0,84;291;0;674;874.717.234,82;187
TRXB11;Geral;Tijolo: Desenvolvimento;BRL Trust DTVM;0,75;0,68;15/10/2020;30/09/2020;0,1;0,09;105,69;1,05;1.179;0;49;264.385.433,07;111
TRXF11;Geral;Tijolo: Outros;BRL Trust DTVM;0,45;0,45;15/10/2020;30/09/2020;0,52;0,51;100,27;1,01;26.330;0;9.125;459.624.925,54;100,8
TSNC11;Geral;Tijolo: Outros;BTG Pactual;35,1;N/A;22/10/2020;15/10/2020;35,45;N/A;5.437,77;0;0;0;66;98.494.406,80;0
URPR11;Geral;Tijolo: Desenvolvimento;Vórtx DTVM LTDA;2,15;1,9;15/10/2020;30/09/2020;0,34;0,3;101,37;1,11;1.488;0;285;30.890.840,68;113
VCJR11;Geral;Papel: CRIs;INTRAG DTVM;0,7;0,69;14/10/2020;30/09/2020;0,35;0,34;100,01;1,01;4.633;0;2.735;581.172.914,80;101,3
VERE11;Geral;Tijolo: Galpões;Votorantim Asset Management;1,19;N/A;09/10/2020;30/09/2020;1,4;N/A;294,67;0;1;0;54;162.090.801,79;0
VGIP11;Geral;Papel: CRIs;BTG Pactual;0,85;0,85;20/10/2020;13/10/2020;0,4;0,39;95,91;1,05;4.980;0;2.576;159.134.895,26;100,5
VGIR11;Geral;Papel: CRIs;BTG Pactual;0,45;0,51;20/10/2020;13/10/2020;0,53;0,6;96,83;0,91;22.648;0,5;26.059;436.334.709,45;88,05
VIFI11;Geral;Papel: Fundo de Fundos;BRL Trust DTVM;0,65;0,67;15/10/2020;30/09/2020;0,22;0,23;101,57;0,95;7.082;0;3.049;285.649.919,54;96,5
VILG11;Geral;Tijolo: Galpões;BRL Trust DTVM;0,5;0,38;15/10/2020;30/09/2020;0,61;0,46;112,72;1,17;89.438;1,64;82.008;1.213.001.385,91;131,68
VINO11;Geral;Tijolo: Escritórios;BRL Trust DTVM;0,35;0,59;15/10/2020;30/09/2020;0,3;0,51;60,48;0,98;63.491;0,95;48.717;601.321.700,32;59,35
VISC11;Geral;Tijolo: Shoppings;BRL Trust DTVM;0,2;0,18;15/10/2020;30/09/2020;0,4;0,37;116,07;0,94;62.128;2,07;173.818;1.656.388.112,89;109,65
VLJS11;Investidor Qualificado;Tijolo: Escritórios;Planner Corretora de Valores;7,19;N/A;14/07/2020;30/06/2020;6,69;N/A;837,53;0;0;0;12;49.395.404,77;0
VLOL11;Geral;Tijolo: Escritórios;Oliveira Trust;0,47;0,45;15/10/2020;30/09/2020;0,46;0,44;90,7;1,16;4.986;0,24;5.727;161.877.195,20;104,99
VOTS11;Geral;Papel: CRIs;Votorantim Asset Management;0,31;0,38;15/10/2020;30/09/2020;0,38;0,47;97,72;0,83;203;0;341;80.900.767,19;81,15
VPSI11;Investidor Qualificado;Tijolo: Shoppings;Votorantim Asset Management;0,08;N/A;13/10/2020;02/10/2020;0,1;N/A;19,36;0;0;0;57;156.262.276,44;0
VRTA11;Geral;Papel: CRIs;Banco Fator;0,61;0,59;15/10/2020;30/09/2020;0,72;0,69;102,05;1,02;42.967;1,31;72.339;1.020.479.932,40;104,25
VSEC11;Investidor Qualificado;Papel: CRIs;Votorantim Asset Management;0,3;0,41;15/10/2020;30/09/2020;0,1;0,14;96,93;0,76;406;0;560;795.399.549,87;74
VSHO11;Investidor Qualificado;Tijolo: Shoppings;Votorantim Asset Management;0,7;0,62;09/03/2020;28/02/2020;0,62;0,55;98,46;1,15;580;0;1.810;206.641.745,14;112,8
VTLT11;Investidor Qualificado;Tijolo: Galpões;Votorantim Asset Management;0,72;0,61;08/10/2020;30/09/2020;0,71;0,6;101,63;1,17;6.632;0,31;4.245;214.943.468,92;118,99
VVPR11;Geral;Tijolo: Escritórios;BTG Pactual;0,54;0,55;07/10/2020;30/09/2020;0,43;0,44;103,44;0,95;346;0;715;195.744.326,62;98,62
WPLZ11;Geral;Tijolo: Shoppings;Hedge Investments DTVM LTDA;0,05;0,06;14/07/2020;30/06/2020;0,42;0,52;93,27;0,86;428;0;2.164;95.201.725,84;80,46
WTSP11B;Investidor Qualificado;Tijolo: Híbrido;Banco Ourinvest S.A.;0,13;0,25;22/10/2020;15/10/2020;0,22;0,43;91,13;0,56;61;0;195;90.448.804,11;51,21
XPCI11;Geral;Papel: CRIs;Vórtx DTVM LTDA;0,58;0,66;15/10/2020;30/09/2020;0,52;0,59;97,61;0,9;20.638;0,74;9.465;641.008.958,07;88,31
XPCM11;Geral;Tijolo: Escritórios;Rio Bravo Investimentos;0,97;1,63;15/10/2020;30/09/2020;0,87;1,46;61,14;0,97;23.767;0,19;29.643;147.619.110,23;59,59
XPHT11;Investidor Qualificado;Tijolo: Hotéis;Genial Investimentos Corretora de Valores Mobiliários S.A.;0,34;0,4;15/04/2020;31/03/2020;0,44;0,52;125,07;0,68;893;0;1.628;473.083.780,55;85
XPIN11;Geral;Tijolo: Galpões;Vórtx DTVM LTDA;0,62;0,53;23/10/2020;16/10/2020;0,65;0,56;110,91;1,05;27.582;0,96;33.709;730.494.415,38;115,9
XPLG11;Geral;Tijolo: Galpões;Vórtx DTVM LTDA;0,58;0,43;15/10/2020;30/09/2020;0,6;0,44;109,57;1,23;155.619;3,48;198.239;2.274.470.046,90;135
XPML11;Geral;Tijolo: Shoppings;BTG Pactual;0,26;0,24;23/10/2020;16/10/2020;0,43;0,39;111,48;0,99;104.155;2,58;237.530;2.029.879.814,91;110,06
XPPR11;Geral;Tijolo: Escritórios;Vórtx DTVM LTDA;0,74;0,88;15/10/2020;30/09/2020;0,54;0,64;97,42;0,86;38.254;0,85;27.334;420.852.561,33;83,99
XPSF11;Geral;Papel: Fundo de Fundos;Vórtx DTVM LTDA;0,7;0,73;15/10/2020;30/09/2020;0,46;0,48;100,89;0,96;17.744;0,53;8.223;337.980.732,75;96,51
XTED11;Geral;Tijolo: Escritórios;BTG Pactual;0,32;N/A;14/07/2016;30/06/2016;0;N/A;14,52;0;3.146;0;5.886;26.024.375,31;0
