Ticker;Publico Alvo;Tipo de FII;Administrador;Ultimo Rend. (R$);Ultimo Rend. (%);Data Pagamento;Data Base;Rend. Med. 12m (R$);Rend. Med. 12m (%);Patrimonio/Cota;Cotacao/VP;Nº negocios/mes;Partic. IFIX;Numero Cotistas;Patrimonio;Cota base
CTXT11;Geral;Tijolo: Outros;Rio Bravo Investimentos;0,38;0,79;08/10/2020;30/09/2020;0,38;0,78;53,44;0,91;2.715;0;4.689;138.626.650,12;48,4
CVBI11;Geral;Papel: CRIs;BRL Trust DTVM;0,75;0,78;16/10/2020;08/10/2020;0,65;0,68;100,32;0,96;8.215;0,43;4.542;353.816.974,10;96,25
CXCE11B;Geral;Tijolo: Escritórios;Caixa Econômica Federal;0,92;0,9;15/10/2020;30/09/2020;0,82;0,8;86,12;1,18;1.139;0;2.006;147.512.832,39;102
CXRI11;Geral;Papel: Fundo de Fundos;Caixa Econômica Federal;0,7;0,38;13/10/2020;01/10/2020;1,31;0,71;99,12;1,86;1.262;0;2.709;156.187.768,35;183,97
CXTL11;Geral;Tijolo: Galpões;Caixa Econômica Federal;0,97;0,27;15/10/2020;30/09/2020;0,86;0,24;767,38;0,48;154;0;583;41.129.363,29;365
DAMT11B;Geral;Tijolo: Shoppings;Banco Modal S.A.;0;N/A;00/00/0000;00/00/0000;0;N/A;1,02;0;3;0;51;102.825.807,28;0
DMAC11;Investidor Qualificado;Tijolo: Desenvolvimento;Oliveira Trust;2,13;0,56;15/10/2020;06/10/2020;3,39;0,9;568,21;0,67;2.156;0;759;88.702.356,59;378,99
DOVL11B;Investidor Qualificado;Tijolo: Escritórios;BNY Mellon;8,72;N/A;20/08/2020;12/08/2020;5,97;N/A;1.130,62;0;1;0;52;67.233.403,79;0
DRIT11B;Geral;Tijolo: Escritórios;Banco Daycoval S.A.;0,55;0,39;15/10/2020;06/10/2020;0,53;0,38;130,8;1,07;82;0;307;60.596.748,62;139,99
EDFO11B;Geral;Tijolo: Escritórios;Oliveira Trust;1,57;0,58;09/10/2020;30/09/2020;1,47;0,55;203,13;1,32;134;0;635;47.938.575,01;268,96
EDGA11;Geral;Tijolo: Escritórios;BTG Pactual;0,07;0,24;30/10/2020;23/10/2020;0,15;0,49;78,77;0,38;4.716;0;7.884;300.284.770,88;30,3
ELDO11B;Geral;Tijolo: Shoppings;Rio Bravo Investimentos;3,04;N/A;26/10/2020;16/10/2020;5,51;N/A;1.163,91;0;0;0;61;916.295.701,27;0
ERPA11;Investidor Qualificado;Tijolo: Escritórios;Oliveira Trust;0;N/A;00/00/0000;00/00/0000;0;N/A;100,51;0;0;0;5;29.464.577,41;0
EURO11;Geral;Tijolo: Galpões;COINVALORES;0,75;0,34;15/10/2020;30/09/2020;0,7;0,32;306,67;0,71;860;0;2.057;117.742.726,41;217,45
FAED11;Geral;Tijolo: Educacional;BTG Pactual;1,28;0,6;15/10/2020;07/10/2020;1,4;0,66;205,08;1,04;1.904;0;5.230;131.693.225,71;212,61
FAMB11B;Geral;Tijolo: Escritórios;BTG Pactual;25,28;0,8;14/10/2020;30/09/2020;28,83;0,91;3.574,22;0,88;848;0;4.064;374.578.086,33;3.161,00
FATN11;Investidor Qualificado;Tijolo: Escritórios;BR-CAPITAL;0,61;0,61;15/10/2020;06/10/2020;0,2;0,2;99,88;1,01;311;0;97;45.262.096,68;100,5
FCFL11;Geral;Tijolo: Educacional;BTG Pactual;0,56;0,47;23/10/2020;16/10/2020;0,54;0,46;105,89;1,12;3.173;0;4.459;367.848.969,10;118,8
FEXC11;Geral;Papel: CRIs;BTG Pactual;0,45;0,45;15/10/2020;07/10/2020;0,71;0,71;98,8;1,01;5.129;0,41;10.644;338.104.389,06;99,6
FIGS11;Geral;Tijolo: Shoppings;Hedge Investments DTVM LTDA;0,15;0,24;15/10/2020;30/09/2020;0,31;0,5;98,09;0,63;9.677;0,23;18.322;279.558.100,61;62,16
FIIB11;Geral;Tijolo: Galpões;COINVALORES;2,39;0,47;09/10/2020;30/09/2020;2,32;0,45;427,06;1,19;2.652;0,45;17.532;292.534.402,16;509,91
FIIP11B;Geral;Tijolo: Galpões;Oliveira Trust;0,87;0,46;15/10/2020;30/09/2020;1,92;1,02;198,62;0,95;2.645;0;8.416;184.148.611,43;189,15
FINF11;Investidor Qualificado;Tijolo: Galpões;Planner Trustee DTVM LTDA;0,26;N/A;18/06/2020;09/06/2020;0,16;N/A;103,7;0;0;0;4;85.042.840,10;0
FISC11;Geral;Tijolo: Escritórios;BR-CAPITAL;5,61;N/A;31/12/2019;15/07/2019;0,47;N/A;1.603,18;0;1;0;66;252.754.313,42;0
FISD11;Investidor Qualificado;Papel: CRIs;RJI CTVM LTDA;0;N/A;00/00/0000;00/00/0000;0;N/A;88,93;0;1;0;25;95.390.062,21;0
FIVN11;Geral;Tijolo: Shoppings;Oliveira Trust;0;N/A;00/00/0000;00/00/0000;0;N/A;7,6;0;1.023;0;2.231;71.569.862,13;0
FLMA11;Geral;Tijolo: Escritórios;BR-CAPITAL;0,01;0,24;15/10/2020;06/10/2020;0,01;0,34;2,91;1,04;33.050;0,26;68.352;200.722.759,51;3,02
FLRP11;Geral;Tijolo: Shoppings;BTG Pactual;2,85;0,21;30/10/2020;20/10/2020;7,93;0,59;1.593,95;0,84;227;0;1.032;103.976.357,69;1.340,00
FMOF11;Geral;Tijolo: Escritórios;COIN DTVM;0,43;0,46;17/07/2020;30/06/2020;0,35;0,38;131,15;0,71;71;0;353;66.625.968,39;93,21
FPAB11;Geral;Tijolo: Escritórios;COIN DTVM;3,33;1,07;15/10/2020;30/09/2020;1,9;0,61;413,92;0,75;268;0;988;310.439.991,10;309,98
FPNG11;Geral;Tijolo: Escritórios;BR-CAPITAL;0,47;N/A;15/10/2020;06/10/2020;0,47;N/A;155,36;0;1;0;50;153.882.365,89;0
FTCE11B;Investidor Qualificado;Híbrido (Tijolo/Papel);BNY Mellon;164,66;N/A;04/12/2019;03/12/2019;20,31;N/A;2.534,40;0;1;0;57;2.000.860.065,23;0
FVBI11;Geral;Tijolo: Escritórios;BTG Pactual;30;18,78;31/08/2020;21/08/2020;3,03;1,9;35,74;4,47;2.319;0;4.028;76.831.530,94;159,71
FVPQ11;Geral;Tijolo: Shoppings;Rio Bravo Investimentos;0,08;0,05;10/08/2020;31/07/2020;1,12;0,7;213,95;0,75;1.544;0,54;5.452;599.105.616,35;159,58
GCFF11;Investidor Qualificado;Papel: Fundo de Fundos;BTG Pactual;0,85;0,83;21/10/2020;14/10/2020;0,17;0,17;97,09;1,05;19;0;53;7.809.131,64;102
GESE11B;Investidor Qualificado;Tijolo: Educacional;Oliveira Trust;3,28;0,22;15/10/2020;30/09/2020;8,09;0,53;1.338,95;1,14;1;0;53;69.625.283,51;1.520,00
GGRC11;Geral;Tijolo: Galpões;CM Capital Markets;0,71;0,5;08/10/2020;01/10/2020;0,71;0,5;124,61;1,13;36.004;1,22;82.517;810.335.954,44;141,12
GRLV11;Geral;Tijolo: Galpões;Hedge Investments DTVM LTDA;0,71;0,49;15/10/2020;30/09/2020;0,67;0,46;131,9;1,1;1.900;0;2.707;141.593.332,00;144,5
GSFI11;Geral;Tijolo: Shoppings;Planner Trustee DTVM LTDA;0;0,03;14/07/2020;30/06/2020;0;0;11,9;0,21;4.716;0;832;814.848.204,39;2,51
GTWR11;Geral;Tijolo: Escritórios;Votorantim Asset Management;0,69;0,58;15/10/2020;30/09/2020;0,68;0,58;97,93;1,21;34.323;1,75;26.192;1.175.172.211,39;118,2
HABT11;Geral;Papel: CRIs;Vórtx DTVM LTDA;1;0,87;09/10/2020;30/09/2020;0,86;0,75;100,87;1,14;16.923;0,77;14.366;545.903.599,03;114,66
